,Actor_name,Born,Occupation,spouse,spouse_first,spouse_second,spouse_third,spouse_fourth
229,Carole Lombard,"['(1908-10-06)', '(1942-01-16)']",['Actress'],"['William Powell(m.\xa01931; div.\xa01933)', 'Clark Gable (m.\xa01939)']",William Powell(m. 1931; div. 1933),Clark Gable (m. 1939),None,None
230,Jean Arthur,"['(1900-10-17)', '(1991-06-19)']",['Actress'],"['Julian Anker (m.\xa01928–1928)', 'Frank Ross, Jr.(m.\xa01932; div.\xa01949)']",Julian Anker (m. 1928–1928),"Frank Ross, Jr.(m. 1932; div. 1949)",None,None
231,Jean Harlow,"['(1911-03-03)', '(1937-06-07)']",['Actress'],"['Charles McGrew(m.\xa01927; div.\xa01929)', 'Paul Bern(m.\xa01932; died\xa01932)', 'Harold Rosson(m.\xa01933; div.\xa01934)']",Charles McGrew(m. 1927; div. 1929),Paul Bern(m. 1932; died 1932),Harold Rosson(m. 1933; div. 1934),None
232,Ginger Rogers,"['(1911-07-16)', '(1995-04-25)']",['Actress\ndancer\nsinger'],"['Jack Pepper(m.\xa01929; div.\xa01931)', 'Lew Ayres(m.\xa01934; div.\xa01940)', 'Jack Briggs(m.\xa01943; div.\xa01949)', 'Jacques Bergerac(m.\xa01953; div.\xa01957)', 'William Marshall(m.\xa01961; div.\xa01969)']",Jack Pepper(m. 1929; div. 1931),Lew Ayres(m. 1934; div. 1940),Jack Briggs(m. 1943; div. 1949),Jacques Bergerac(m. 1953; div. 1957)
233,Mary Pickford,"['(1892-04-08)', '(1979-05-29)']","['Actress, producer']","['Owen Moore(m.\xa01911; div.\xa01920)', 'Douglas Fairbanks(m.\xa01920; div.\xa01936)', 'Charles ""Buddy"" Rogers (m.\xa01937)']",Owen Moore(m. 1911; div. 1920),Douglas Fairbanks(m. 1920; div. 1936),"Charles ""Buddy"" Rogers (m. 1937)",None
234,Mae West,"['(1893-08-17)', '(1980-11-22)']","['Actress, singer, playwright, screenwriter, comedian']",[],Never married,None,None,None
235,Gillian Anderson,['(1968-08-09)'],"['Actress, writer, producer, director']","['Clyde Klotz(m.\xa01994; div.\xa01997)', 'Julian Ozanne(m.\xa02004; div.\xa02006)']",Clyde Klotz(m. 1994; div. 1997),Julian Ozanne(m. 2004; div. 2006),None,None
236,Emma Watson,['(1990-04-15)'],['Actressmodelactivist'],[],Never married,None,None,None
237,Meg Ryan,['(1961-11-19)'],"['Actress, producer']",['Dennis Quaid(m.\xa01991; div.\xa02001)'],Dennis Quaid(m. 1991; div. 2001),None,None,None
238,Alan Arkin,['(1934-03-26)'],"['Actor, director, screenwriter, musician, singer']","['Jeremy Yaffe(m.\xa01955; div.\xa01961)', 'Barbara Dana(m.\xa01964; div.\xa01994)', 'Suzanne Newlander (m.\xa01996)']",Jeremy Yaffe(m. 1955; div. 1961),Barbara Dana(m. 1964; div. 1994),Suzanne Newlander (m. 1996),None
239,Benedict Cumberbatch,['(1976-07-19)'],['Actor'],['Sophie Hunter (m.\xa02015)'],Sophie Hunter (m. 2015),None,None,None
240,Chris Hemsworth,['(1983-08-11)'],['Actor'],['Elsa Pataky (m.\xa02010)'],Elsa Pataky (m. 2010),None,None,None
241,Henry Cavill,['(1983-05-05)'],['Actormodel'],[],Never married,None,None,None
242,Tom Hardy,['(1977-09-15)'],"['Actor, producer, model']","['Sarah Ward(m.\xa01999; div.\xa02004)', 'Charlotte Riley (m.\xa02014)']",Sarah Ward(m. 1999; div. 2004),Charlotte Riley (m. 2014),None,None
243,Jean Dujardin,['(1972-06-19)'],['Actor\ntelevision director\ncomedian'],"['Alexandra Lamy(m.\xa02009; div.\xa02014)', 'Nathalie Péchalat (m.\xa02018)']",Alexandra Lamy(m. 2009; div. 2014),Nathalie Péchalat (m. 2018),None,None
244,Colin Firth,['(1960-09-10)'],['Actor'],['Livia Giuggioli (m.\xa01997)'],Livia Giuggioli (m. 1997),None,None,None
245,Jamie Foxx,['(1967-12-13)'],['Actor\nsinger\nsongwriter\nrecord producer\ncomedian'],[],Never married,None,None,None
246,Adrien Brody,['(1973-04-14)'],"['Actor, producer']",[],Never married,None,None,None
247,Roberto Benigni,['(1952-10-27)'],['Film director\nscreenwriter\nactor\ncomedian'],['Nicoletta Braschi (m.\xa01991)'],Nicoletta Braschi (m. 1991),None,None,None
248,Jeremy Irons,['(1948-09-19)'],['Actor'],"['Julie Hallam(m.\xa01969; div.\xa01969)', 'Sinéad Cusack (m.\xa01978)']",Julie Hallam(m. 1969; div. 1969),Sinéad Cusack (m. 1978),None,None
249,William Hurt,['(1950-03-20)'],['Actor'],"['Mary Beth Hurt(m.\xa01971; div.\xa01982)', 'Heidi Henderson(m.\xa01989; div.\xa01992)']",Mary Beth Hurt(m. 1971; div. 1982),Heidi Henderson(m. 1989; div. 1992),None,None
250,F. Murray Abraham,['(1939-10-24)'],['Actor'],['Kate Hannan (m.\xa01962)'],Kate Hannan (m. 1962),None,None,None
251,Richard Dreyfuss,['(1947-10-29)'],['Actor'],"['Jeramie Rain(m.\xa01983; div.\xa01995)', 'Janelle Lacey(m.\xa01999; div.\xa02005)', 'Svetlana Erokhin (m.\xa02006)']",Jeramie Rain(m. 1983; div. 1995),Janelle Lacey(m. 1999; div. 2005),Svetlana Erokhin (m. 2006),None
252,Peter Finch,"['(1916-09-28)', '(1977-01-14)']",['Actor'],[],Never married,None,None,None
253,Art Carney,"['(1918-11-04)', '(2003-11-09)']","['Actor, voice-impersonations']",['Barbara Isaac(m.\xa01966; div.\xa01977)'],Barbara Isaac(m. 1966; div. 1977),None,None,None
254,Cliff Robertson,"['(1923-09-09)', '(2011-09-10)']",['Actor'],"['Cynthia Stone(m.\xa01957; div.\xa01959)', 'Dina Merrill(m.\xa01966; div.\xa01989)']",Cynthia Stone(m. 1957; div. 1959),Dina Merrill(m. 1966; div. 1989),None,None
255,Chris Pratt,['(1979-06-21)'],['Actor'],['Anna Faris(m.\xa02009; div.\xa02018)'],Anna Faris(m. 2009; div. 2018),None,None,None
256,Lee Marvin,"['(1924-02-19)', '(1987-08-29)']",['Actor'],"['Betty Ebeling(m.\xa01951; div.\xa01967)', 'Pamela Feeley (m.\xa01970)']",Betty Ebeling(m. 1951; div. 1967),Pamela Feeley (m. 1970),None,None
257,Rex Harrison,"['(1908-03-05)', '(1990-06-02)']",['Actor'],"['Colette Thomas(m.\xa01934; div.\xa01942)', 'Lilli Palmer(m.\xa01943; div.\xa01957)', 'Kay Kendall(m.\xa01957; died\xa01959)', 'Rachel Roberts(m.\xa01962; div.\xa01971)', 'Elizabeth Rees-Williams(m.\xa01971; div.\xa01975)', 'Mercia Tinker (m.\xa01979)']",Colette Thomas(m. 1934; div. 1942),Lilli Palmer(m. 1943; div. 1957),Kay Kendall(m. 1957; died 1959),Rachel Roberts(m. 1962; div. 1971)
258,Maximilian Schell,"['(1930-12-08)', '(2014-02-01)']","['Actor, screenwriter, director, producer, production manager']",[],Never married,None,None,None
259,David Niven,"['(1910-03-01)', '(1983-07-29)']","['Actor, author']","['Primula Susan Rollo(m.\xa01940; died\xa01946)', 'Hjördis Paulina Genberg Tersmeden (m.\xa01948)']",Primula Susan Rollo(m. 1940; died 1946),Hjördis Paulina Genberg Tersmeden (m. 1948),None,None
260,Yul Brynner,"['(1920-07-11)', '(1985-10-10)']",['Actor'],"['Virginia Gilmore(m.\xa01944; div.\xa01960)', 'Doris Kleiner(m.\xa01960; div.\xa01967)', 'Jacqueline Thion de la Chaume(m.\xa01971; div.\xa01981)', 'Kathy Lee(m.\xa01983; his death\xa01985)']",Virginia Gilmore(m. 1944; div. 1960),Doris Kleiner(m. 1960; div. 1967),Jacqueline Thion de la Chaume(m. 1971; div. 1981),Kathy Lee(m. 1983; his death 1985)
261,Ernest Borgnine,"['(1917-01-24)', '(2012-07-08)']",['Actor'],"['Rhoda Kemins(m.\xa01949; div.\xa01958)', 'Katy Jurado(m.\xa01959; div.\xa01963)', 'Ethel Merman(m.\xa01964; div.\xa01964)', 'Donna Rancourt(m.\xa01965; div.\xa01972)', 'Tova Traesnaes (m.\xa01973)']",Rhoda Kemins(m. 1949; div. 1958),Katy Jurado(m. 1959; div. 1963),Ethel Merman(m. 1964; div. 1964),Donna Rancourt(m. 1965; div. 1972)
262,Chloë Grace Moretz,['(1997-02-10)'],['Actressmodel'],[],Never married,None,None,None
263,Anna Kendrick,['(1985-08-09)'],"['Actress, singer, author']",[],Never married,None,None,None
264,Emily Watson,['(1967-01-14)'],['Actress'],['Jack Waters (m.\xa01995)'],Jack Waters (m. 1995),None,None,None
265,Helena Bonham Carter,['(1966-05-26)'],['Actress'],[],Never married,None,None,None
266,Keira Knightley,['(1985-03-26)'],['Actress'],['James Righton (m.\xa02013)'],James Righton (m. 2013),None,None,None
267,Alexis Thorpe,['(1980-04-19)'],['Actress'],[],Never married,None,None,None
268,Marion Davies,"['(1897-01-03)', '(1961-09-22)']","['Actress, film producer, screenwriter, philanthropist']",['Horace G. Brown (m.\xa01951–1961)'],Horace G. Brown (m. 1951–1961),None,None,None
269,Scarlett Johansson,['(1984-11-22)'],['Actresssinger'],"['Ryan Reynolds(m.\xa02008; div.\xa02011)', 'Romain Dauriac(m.\xa02014; div.\xa02017)']",Ryan Reynolds(m. 2008; div. 2011),Romain Dauriac(m. 2014; div. 2017),None,None
270,Dakota Fanning,['(1994-02-23)'],['Actress • model'],[],Never married,None,None,None
271,Jennifer Aniston,['(1969-02-11)'],['Actressfilm producerbusinessperson'],"['Brad Pitt(m.\xa02000; div.\xa02005)', 'Justin Theroux(m.\xa02015; sep.\xa02017)']",Brad Pitt(m. 2000; div. 2005),Justin Theroux(m. 2015; sep. 2017),None,None
272,Jennifer Connelly,['(1970-12-12)'],['Actress'],['Paul Bettany (m.\xa02003)'],Paul Bettany (m. 2003),None,None,None
273,Rachel McAdams,['(1978-11-17)'],['Actress\nactivist'],[],Never married,None,None,None
274,Carey Mulligan,['(1985-05-28)'],['Actress'],['Marcus Mumford (m.\xa02012)'],Marcus Mumford (m. 2012),None,None,None
275,Mila Kunis,['(1983-08-14)'],['Actress'],['Ashton Kutcher (m.\xa02015)'],Ashton Kutcher (m. 2015),None,None,None
276,Amanda Seyfried,['(1985-12-03)'],['Actressmodelsinger-songwriter'],['Thomas Sadoski (m.\xa02017)'],Thomas Sadoski (m. 2017),None,None,None
277,Jennifer Lopez,['(1969-07-24)'],['Singeractressdancerproducer'],"['Ojani Noa(m.\xa01997; div.\xa01998)', 'Cris Judd(m.\xa02001; div.\xa02003)', 'Marc Anthony(m.\xa02004; div.\xa02014)']",Ojani Noa(m. 1997; div. 1998),Cris Judd(m. 2001; div. 2003),Marc Anthony(m. 2004; div. 2014),None
278,Neve Campbell,['(1973-10-03)'],['Actress'],"['Jeff Colt(m.\xa01995; div.\xa01998)', 'John Light(m.\xa02007; div.\xa02011)']",Jeff Colt(m. 1995; div. 1998),John Light(m. 2007; div. 2011),None,None
279,Fairuza Balk,['(1974-05-21)'],"['Actress, musician']",[],Never married,None,None,None
280,Jessica Alba,['(1981-04-28)'],"['Actress, businesswoman']",['Cash Warren (m.\xa02008)'],Cash Warren (m. 2008),None,None,None
281,Kristen Stewart,['(1990-04-09)'],['Actressdirector'],[],Never married,None,None,None
282,Julie Walters,['(1950-02-22)'],"['Actress, author']",['Grant Roffey (m.\xa01997)'],Grant Roffey (m. 1997),None,None,None
283,Rooney Mara,['(1985-04-17)'],['Actress'],[],Never married,None,None,None
284,Jamie Lee Curtis,['(1958-11-22)'],"['Actress, producer, director, author, blogger, activist']","['Christopher Guest, 5th Baron Haden-Guest (m.\xa01984)']","Christopher Guest, 5th Baron Haden-Guest (m. 1984)",None,None,None
285,Emma Stone,['(1988-11-06)'],['Actress'],[],Never married,None,None,None
286,Kirsten Dunst,['(1982-04-30)'],['Actress'],[],Never married,None,None,None
287,José Ferrer,"['(1912-01-08)', '(1992-01-26)']","['Actor, director']",[],Never married,None,None,None
288,Broderick Crawford,"['(1911-12-09)', '(1986-04-26)']",['Actor'],"['Kay Griffith(m.\xa01940; div.\xa01958)', 'Joan Tabor(m.\xa01962; div.\xa01967)', 'Mary Alice Moore(m.\xa01973; his death\xa01986)']",Kay Griffith(m. 1940; div. 1958),Joan Tabor(m. 1962; div. 1967),Mary Alice Moore(m. 1973; his death 1986),None
289,Ronald Colman,"['(1891-02-09)', '(1958-05-19)']",['Actor'],"['Thelma Raye(m.\xa01920; div.\xa01934)', 'Benita Hume(m.\xa01938; his death\xa01958)']",Thelma Raye(m. 1920; div. 1934),Benita Hume(m. 1938; his death 1958),None,None
290,Fredric March,"['(1897-08-31)', '(1975-04-14)']",['Actor'],"['Ellis Baker (m.\xa01921–1927)', 'Florence Eldridge (m.\xa01927–1975)']",Ellis Baker (m. 1921–1927),Florence Eldridge (m. 1927–1975),None,None
291,Ray Milland,"['(1907-01-03)', '(1986-03-10)']","['Actor, director']",['Muriel Weber (1908–1992)(m.\xa01932; his death\xa01986)'],Muriel Weber (1908–1992)(m. 1932; his death 1986),None,None,None
292,Bing Crosby,"['(1903-05-03)', '(1977-10-14)']",['Singeractor'],"['Dixie Lee(m.\xa01930; died\xa01952)', 'Kathryn Grant (m.\xa01957)']",Dixie Lee(m. 1930; died 1952),Kathryn Grant (m. 1957),None,None
293,Paul Lukas,"['(1894-05-26)', '(1971-08-15)']",['Actor'],[],Never married,None,None,None
294,Robert Donat,"['(1905-03-18)', '(1958-06-09)']",['Actor'],"['Ella Annesley(m.\xa01929; div.\xa01946)', 'Renée Asherson(m.\xa01953; his death\xa01958)']",Ella Annesley(m. 1929; div. 1946),Renée Asherson(m. 1953; his death 1958),None,None
295,Paul Muni,"['(1895-09-22)', '(1967-08-25)']",['Actor'],[],Never married,None,None,None
296,Victor McLaglen,"['(1886-12-10)', '(1959-11-07)']",['Actor'],[],Never married,None,None,None
297,Charles Laughton,"['(1899-07-01)', '(1962-12-15)']","['Actor, screenwriter, producer, director']",['Elsa Lanchester(m.\xa01929; his death\xa01962)'],Elsa Lanchester(m. 1929; his death 1962),None,None,None
298,Wallace Beery,"['(1885-04-01)', '(1949-04-15)']","['Actor, singer, director']","['Gloria Swanson(m.\xa01916; div.\xa01918)', 'Rita Gilman(m.\xa01924; div.\xa01939)']",Gloria Swanson(m. 1916; div. 1918),Rita Gilman(m. 1924; div. 1939),None,None
299,Kurt Russell,['(1951-03-17)'],['Actor'],['Season Hubley(m.\xa01979; div.\xa01983)'],Season Hubley(m. 1979; div. 1983),None,None,None
300,Lionel Barrymore,"['(1878-04-28)', '(1954-11-15)']",['Actor'],[],Never married,None,None,None
301,Jeff Goldblum,['(1952-10-22)'],"['Actor, musician']","['Patricia Gaul(m.\xa01980; div.\xa01986)', 'Geena Davis(m.\xa01987; div.\xa01990)', 'Emilie Livingston (m.\xa02014)']",Patricia Gaul(m. 1980; div. 1986),Geena Davis(m. 1987; div. 1990),Emilie Livingston (m. 2014),None
302,Warner Baxter,"['(1889-03-29)', '(1951-05-07)']",['actor'],[],Never married,None,None,None
303,Emil Jannings,"['(1884-07-23)', '(1950-01-02)']",['Actor'],"['Hanna Ralph(m.\xa01919; div.\xa01921)', 'Gussy Holl (m.\xa01923)']",Hanna Ralph(m. 1919; div. 1921),Gussy Holl (m. 1923),None,None
304,Chris Cooper,['(1951-07-09)'],['Actor'],['Marianne Leone (m.\xa01983)'],Marianne Leone (m. 1983),None,None,None
305,Jim Broadbent,['(1949-05-24)'],['Actor'],['Anastasia Lewis (m.\xa01987)'],Anastasia Lewis (m. 1987),None,None,None
306,James Coburn,"['(1928-08-31)', '(2002-11-18)']",['Actor'],"['Beverly Kelly(m.\xa01959; div.\xa01979)', 'Paula Murad(m.\xa01993; his death\xa02002)']",Beverly Kelly(m. 1959; div. 1979),Paula Murad(m. 1993; his death 2002),None,None
307,Cuba Gooding Jr.,['(1968-01-02)'],"['Actor, comedian']",['Sara Kapfer(m.\xa01994; separated\xa02014)'],Sara Kapfer(m. 1994; separated 2014),None,None,None
308,Martin Landau,"['(1928-06-20)', '(2017-07-15)']","['Actor, acting coach']",['Barbara Bain(m.\xa01957; div.\xa01993)'],Barbara Bain(m. 1957; div. 1993),None,None,None
309,Jack Palance,"['(1919-02-18)', '(2006-11-10)']","['Actor, singer']","['Virginia Baker(m.\xa01949; div.\xa01968)', 'Elaine Rogers (m.\xa01987)']",Virginia Baker(m. 1949; div. 1968),Elaine Rogers (m. 1987),None,None
310,Kevin Kline,['(1947-10-24)'],"['Actor, singer']",['Phoebe Cates (m.\xa01989)'],Phoebe Cates (m. 1989),None,None,None
311,Don Ameche,"['(1908-05-31)', '(1993-12-06)']","['Actor, voice artist, and comedian']",['Honore Prendergast (m.\xa01932–1986)'],Honore Prendergast (m. 1932–1986),None,None,None
312,Kate Beckinsale,['(1973-07-26)'],['Actress'],['Len Wiseman(m.\xa02004; div.\xa02016)'],Len Wiseman(m. 2004; div. 2016),None,None,None
313,Zooey Deschanel,['(1980-01-17)'],['Actress\nmodel\nsinger\nsongwriter'],"['Ben Gibbard(m.\xa02009; div.\xa02012)', 'Jacob Pechenik (m.\xa02015)']",Ben Gibbard(m. 2009; div. 2012),Jacob Pechenik (m. 2015),None,None
314,Milla Jovovich,['(1975-12-17)'],['Actress\nmodel\nmusician'],"['Shawn Andrews(m.\xa01992; annulled\xa01992)', 'Luc Besson(m.\xa01997; div.\xa01999)', 'Paul W. S. Anderson (m.\xa02009)']",Shawn Andrews(m. 1992; annulled 1992),Luc Besson(m. 1997; div. 1999),Paul W. S. Anderson (m. 2009),None
315,Selena Gomez,['(1992-07-22)'],['Singeractressproducer'],[],Never married,None,None,None
316,Rachel Weisz,['(1970-03-07)'],['Actressfashion model'],['Daniel Craig (m.\xa02011)'],Daniel Craig (m. 2011),None,None,None
317,Kristen Bell,['(1980-07-18)'],['Actress'],['Dax Shepard (m.\xa02013)'],Dax Shepard (m. 2013),None,None,None
318,Katherine Heigl,['(1978-11-24)'],['Actress\nproducer\nmodel'],['Josh Kelley (m.\xa02007)'],Josh Kelley (m. 2007),None,None,None
319,Liv Tyler,['(1977-07-01)'],['Actressproducermodel'],['Royston Langdon(m.\xa02003; div.\xa02008)'],Royston Langdon(m. 2003; div. 2008),None,None,None
320,Jessica Chastain,['(1977-03-24)'],['Actressfilm producer'],['Gian Luca Passi de Preposulo (m.\xa02017)'],Gian Luca Passi de Preposulo (m. 2017),None,None,None
321,Megan Fox,['(1986-05-16)'],"['Actress, model']",['Brian Austin Green (m.\xa02010)'],Brian Austin Green (m. 2010),None,None,None
322,Betty White,['(1922-01-17)'],"['Actress, comedian']","['Dick Barker(m.\xa01945; div.\xa01945)', 'Lane Allen(m.\xa01947; div.\xa01949)', 'Allen Ludden(m.\xa01963; died\xa01981)']",Dick Barker(m. 1945; div. 1945),Lane Allen(m. 1947; div. 1949),Allen Ludden(m. 1963; died 1981),None
323,Geraldine Page,"['(1924-11-22)', '(1987-06-13)']",[],"['Alexander Schneider (m.\xa01954–1957)', 'Rip Torn (m.\xa01963)']",Alexander Schneider (m. 1954–1957),Rip Torn (m. 1963),None,None
324,Eliza Dushku,['(1980-12-30)'],"['Actress, activist, model']",['Peter Palandjian (m.\xa02018)'],Peter Palandjian (m. 2018),None,None,None
325,Robin Wright,['(1966-04-08)'],"['Actress, director']","['Dane Witherspoon(m.\xa01986; div.\xa01988)', 'Sean Penn(m.\xa01996; div.\xa02010)', 'Clement Giraudet (m.\xa02018)']",Dane Witherspoon(m. 1986; div. 1988),Sean Penn(m. 1996; div. 2010),Clement Giraudet (m. 2018),None
326,Leighton Meester,['(1986-04-09)'],['Actress\nsinger\nsongwriter\nmodel'],['Adam Brody (m.\xa02014)'],Adam Brody (m. 2014),None,None,None
327,Jennifer Jones,"['(1919-03-02)', '(2009-12-17)']","['Actress, singer']","['Robert Walker(m.\xa01939; div.\xa01945)', 'David O. Selznick(m.\xa01949; died\xa01965)', 'Norton Simon(m.\xa01971; died\xa01993)']",Robert Walker(m. 1939; div. 1945),David O. Selznick(m. 1949; died 1965),Norton Simon(m. 1971; died 1993),None
328,Julia Louis-Dreyfus,['(1961-01-13)'],['Actresscomediansingerproducer'],['Brad Hall (m.\xa01987)'],Brad Hall (m. 1987),None,None,None
329,Olivia Thirlby,['(1986-10-06)'],['Actress'],[],Never married,None,None,None
330,Cher,['(1946-05-20)'],['Singer\nactress\nauthor\nbusinesswoman\ncomedian\ndancer\nfashion designer\nmodel\nphilanthropist\nrecord producer\nsongwriter\ntelevision host'],"['Sonny Bono(m.\xa01969; div.\xa01975)', 'Gregg Allman(m.\xa01975; div.\xa01979)']",Sonny Bono(m. 1969; div. 1975),Gregg Allman(m. 1975; div. 1979),None,None
331,Penélope Cruz,['(1974-04-28)'],['Actressmodel'],['Javier Bardem (m.\xa02010)'],Javier Bardem (m. 2010),None,None,None
332,Louise Fletcher,['(1934-07-22)'],['Actress'],['Jerry Bick(m.\xa01960; div.\xa01977)'],Jerry Bick(m. 1960; div. 1977),None,None,None
333,Julie Christie,['(1940-04-14)'],"['Actress, activist']",[],Never married,None,None,None
334,Patricia Neal,"['(1926-01-20)', '(2010-08-08)']",['Actress'],['Roald Dahl(m.\xa01953; div.\xa01983)'],Roald Dahl(m. 1953; div. 1983),None,None,None
335,Haing S. Ngor,"['(1940-03-22)', '(1996-02-25)']",['Gynecologistobstetricianactorauthor'],[],Never married,None,None,None
336,Louis Gossett Jr.,['(1936-05-27)'],['Actor'],"['Hattie Glascoe(m.\xa01967; annulled\xa01968)', 'Christina Mangosing(m.\xa01973; div.\xa01975)', 'Cyndi James-Reese(m.\xa01987; div.\xa01992)']",Hattie Glascoe(m. 1967; annulled 1968),Christina Mangosing(m. 1973; div. 1975),Cyndi James-Reese(m. 1987; div. 1992),None
337,Timothy Hutton,['(1960-08-16)'],"['Actor, director']","['Debra Winger(m.\xa01986; div.\xa01990)', ""Aurore Giscard d'Estaing(m.\xa02000; sep.\xa02009)""]",Debra Winger(m. 1986; div. 1990),Aurore Giscard d'Estaing(m. 2000; sep. 2009),None,None
338,Melvyn Douglas,"['(1901-04-05)', '(1981-08-04)']","['Actor, Singer']","['Rosalind Hightower(m.\xa01925; div.\xa01930)', 'Helen Gahagan(m.\xa01931; died\xa01980)']",Rosalind Hightower(m. 1925; div. 1930),Helen Gahagan(m. 1931; died 1980),None,None
339,Jason Robards,"['(1922-07-26)', '(2000-12-26)']",['Actor'],"['Eleanor Pittman(m.\xa01948; div.\xa01958)', 'Rachel Taylor(m.\xa01959; div.\xa01961)', 'Lauren Bacall(m.\xa01961; div.\xa01969)', ""Lois O'Connor (m.\xa01970)""]",Eleanor Pittman(m. 1948; div. 1958),Rachel Taylor(m. 1959; div. 1961),Lauren Bacall(m. 1961; div. 1969),Lois O'Connor (m. 1970)
340,George Burns,"['(1896-01-20)', '(1996-03-09)']","['Actor, comedian, writer, singer']","['Hannah Siegel(m.\xa01917; div.\xa01921)', 'Gracie Allen(m.\xa01926; died\xa01964)']",Hannah Siegel(m. 1917; div. 1921),Gracie Allen(m. 1926; died 1964),None,None
341,John Houseman,"['(1902-09-22)', '(1988-10-31)']","['Actor, producer']","['Zita Johann(m.\xa01929; div.\xa01933)', 'Joan Courtney (m.\xa01952–1988)']",Zita Johann(m. 1929; div. 1933),Joan Courtney (m. 1952–1988),None,None
342,Ethan Hawke,['(1970-11-06)'],['Actor\ndirector\nscreenwriter\nnovelist'],"['Uma Thurman(m.\xa01998; div.\xa02005)', 'Ryan Shawhughes (m.\xa02008)']",Uma Thurman(m. 1998; div. 2005),Ryan Shawhughes (m. 2008),None,None
343,John Mills,"['(1908-02-22)', '(2005-04-23)']",['Actor'],"['Aileen Raymond(m.\xa01932; div.\xa01941)', 'Mary Hayley Bell(m.\xa01941; his death\xa02005)']",Aileen Raymond(m. 1932; div. 1941),Mary Hayley Bell(m. 1941; his death 2005),None,None
344,Gig Young,"['(1913-11-04)', '(1978-10-19)']",['Actor'],"['Sheila Stapler(m.\xa01940; div.\xa01947)', 'Sophie Rosenstein(m.\xa01950; died\xa01952)', 'Elizabeth Montgomery(m.\xa01956; div.\xa01963)', 'Elaine Williams(m.\xa01963; div.\xa01966)', 'Kim Schmidt(m.\xa01978; died\xa01978)']",Sheila Stapler(m. 1940; div. 1947),Sophie Rosenstein(m. 1950; died 1952),Elizabeth Montgomery(m. 1956; div. 1963),Elaine Williams(m. 1963; div. 1966)
345,Jack Albertson,"['(1907-06-16)', '(1981-11-25)']","['Actor, comedian, dancer, singer']",['June Wallace Thompson(m.\xa01952; his death\xa01981)'],June Wallace Thompson(m. 1952; his death 1981),None,None,None
346,George Kennedy,"['(1925-02-18)', '(2016-02-28)']",['Actor'],"['Dorothy Gillooly(m.\xa01946; div.\xa01959)', 'Norma Wurman(m.\xa01959; div.\xa01971)', 'Norma Wurman(m.\xa01973; div.\xa01978)', 'Joan McCarthy(m.\xa01978; died\xa02015)']",Dorothy Gillooly(m. 1946; div. 1959),Norma Wurman(m. 1959; div. 1971),Norma Wurman(m. 1973; div. 1978),Joan McCarthy(m. 1978; died 2015)
347,Walter Matthau,"['(1920-10-01)', '(2000-07-01)']","['Actor, singer']","['Grace Geraldine Johnson(m.\xa01948; div.\xa01958)', 'Carol Marcus(m.\xa01959; his death\xa02000)']",Grace Geraldine Johnson(m. 1948; div. 1958),Carol Marcus(m. 1959; his death 2000),None,None
348,Martin Balsam,"['(1919-11-04)', '(1996-02-13)']",['Actor'],[],Never married,None,None,None
349,Peter Ustinov,"['(1921-04-16)', '(2004-03-28)']","['Actor, writer, filmmaker']","['Isolde Denham(m.\xa01940; div.\xa01950)', 'Suzanne Cloutier(m.\xa01954; div.\xa01971)', ""Helene du Lau d'Allemans (m.\xa01972)""]",Isolde Denham(m. 1940; div. 1950),Suzanne Cloutier(m. 1954; div. 1971),Helene du Lau d'Allemans (m. 1972),None
350,Ed Begley,"['(1901-03-25)', '(1970-04-28)']","['Film, television, radio actor']",[],Never married,None,None,None
351,George Chakiris,['(1934-09-16)'],"['Actor, dancer']",[],Never married,None,None,None
352,Hugh Griffith,"['(1912-05-30)', '(1980-05-14)']",['Actor'],[],Never married,None,None,None
353,Burl Ives,"['(1909-06-14)', '(1995-04-14)']","['Actor, voice over actor, folk singer, writer, author']","['Helen Peck Ehrlich(m.\xa01945; div.\xa01971)', 'Dorothy Koster Paul(m.\xa01971; died\xa01995)']",Helen Peck Ehrlich(m. 1945; div. 1971),Dorothy Koster Paul(m. 1971; died 1995),None,None
354,Red Buttons,"['(1919-02-05)', '(2006-07-13)']",['Actor & Comedian'],"['Roxanne Arlen(m.\xa01947; div.\xa01949)', 'Helayne McNorton(m.\xa01949; div.\xa01963)', 'Alicia Prats(m.\xa01964; her death\xa02001)']",Roxanne Arlen(m. 1947; div. 1949),Helayne McNorton(m. 1949; div. 1963),Alicia Prats(m. 1964; her death 2001),None
355,Anthony Quinn,"['(1915-04-21)', '(2001-06-03)']","['Actor, painter, writer, film director']","['Katherine DeMille(m.\xa01937; div.\xa01965)', 'Jolanda Addolori(m.\xa01966; div.\xa01997)', 'Kathy Benvin (m.\xa01997)']",Katherine DeMille(m. 1937; div. 1965),Jolanda Addolori(m. 1966; div. 1997),Kathy Benvin (m. 1997),None
356,Edmond O'Brien,"['(1915-09-10)', '(1985-05-09)']",['Actor'],"['Nancy Kelly(m.\xa01941; div.\xa01942)', 'Olga San Juan(m.\xa01948; div.\xa01976)']",Nancy Kelly(m. 1941; div. 1942),Olga San Juan(m. 1948; div. 1976),None,None
